# id  x  y  V  eV  BV  eBV
110  967.980093  1077.700936  20.952869  0.117760  0.989472  0.275868
111  956.540621  920.622141  21.033486  0.114513  1.497263  0.253429
112  1007.213507  1095.563817  20.743934  0.172528  1.185229  0.295314
113  1041.080504  987.008246  20.735189  0.184810  1.923239  0.254742
114  1097.787638  983.381258  20.830358  0.159078  1.202647  0.140436
115  1026.043761  1047.950991  20.723571  0.187190  1.546722  0.341086
117  1013.894164  897.121567  20.710511  0.149606  1.419563  0.179776
118  968.923464  1053.438710  20.441163  0.183682  1.558322  0.125296
119  1027.352801  930.608292  20.318400  0.089128  1.511801  0.153310
120  1159.932047  993.757553  20.211118  0.117216  1.669674  0.186603
121  1026.414449  1213.827338  19.977136  0.146574  1.120141  0.138693
122  1110.658335  1024.700580  19.864136  0.134823  1.433073  0.130114
123  1021.963592  1051.245363  19.795923  0.077806  1.483060  0.102244
124  1168.598835  1046.306181  19.896333  0.110416  1.545342  0.139626
125  1144.943862  951.104307  19.509769  0.153811  1.480742  0.214399
126  954.844447  914.130022  19.587131  0.068858  1.274679  0.090384
127  1053.884498  859.501998  19.484300  0.083915  1.322324  0.112184
128  1051.476111  914.393928  19.427017  0.071775  1.143813  0.069674
129  982.094070  1079.865836  19.259088  0.097190  1.255665  0.060363
130  1037.936927  1037.967217  19.101132  0.066799  1.175440  0.073660
131  870.937887  996.196659  18.898767  0.149198  1.203901  0.081571
132  1075.048776  933.433774  18.836314  0.101228  1.165599  0.084207
133  992.172503  975.293501  18.757582  0.072446  1.269125  0.079825
134  1041.293332  1124.852961  18.539143  0.054075  1.169589  0.065711
135  887.189688  1109.861274  18.554696  0.070924  1.115695  0.051568
136  890.091889  1180.552868  18.379025  0.100043  1.177617  0.047612
137  1132.131758  980.905595  18.280010  0.053509  1.201572  0.078272
138  859.967447  1202.115215  18.208557  0.101318  1.179503  0.072640
139  1016.445010  1089.427866  17.995073  0.089125  1.110956  0.109793
140  1080.114217  940.485673  17.766070  0.063763  1.228511  0.058086
141  978.113352  1056.091402  17.681364  0.043873  1.279588  0.089527
142  1017.010606  1170.366484  17.286266  0.137204  1.965034  0.095322
143  1037.207982  989.995233  17.541999  0.105869  1.956224  0.045221
144  1062.451773  1055.081062  17.224597  0.053655  1.913466  0.083738
145  1051.063747  899.856138  15.872853  0.069771  2.183804  0.035332
20  395.350410  1189.698737  9.899996  0.035693  1.293299  0.029634
21  822.433661  816.006267  13.405875  0.024295  2.961642  0.054596
22  198.056386  1135.080073  12.373864  0.019816  2.165734  0.065850
23  1241.952232  1840.986432  11.626336  0.031474  1.428427  0.018711
24  1824.028259  1689.709048  10.413216  0.019914  0.835845  0.025648
25  1757.122369  1488.395740  10.388845  0.016371  0.795630  0.021819
26  1358.523986  296.057828  10.823347  0.032691  0.677455  0.034304
27  870.891028  1177.556877  10.695508  0.026634  0.720464  0.026274
28  380.460848  761.740786  12.367776  0.037787  1.691456  0.019688
29  1763.595205  1921.738893  11.008416  0.045945  0.761435  0.024062
210  644.846570  645.316252  11.474870  0.017820  0.861068  0.026456
211  274.414313  1890.466473  17.516027  0.077905  4.272309  0.064046
212  1199.793224  896.042826  17.190575  0.041030  3.637178  0.056942
213  1176.703710  2016.384171  11.970771  0.030540  0.866582  0.040896
214  1040.290763  994.325210  12.259498  0.042185  0.616156  0.056278
215  1929.226142  1112.995402  13.224741  0.038381  1.161840  0.027106
216  374.390315  1936.342749  12.591951  0.026461  0.879187  0.032893
217  1186.308502  1461.439621  16.243258  0.050115  2.841996  0.029863
218  160.972302  1363.159532  13.155458  0.036739  1.111659  0.032551
219  1172.620949  1830.227291  16.239933  0.085535  2.688153  0.042759
220  1260.850287  807.432475  13.018288  0.033105  0.790313  0.030021
221  1918.164751  222.326762  12.455601  0.044804  0.534094  0.021490
222  1739.290800  1041.350210  13.200311  0.027805  0.641116  0.020905
223  392.112728  684.209479  13.477192  0.052834  0.896542  0.038272
224  487.269775  60.024298  12.884972  0.020830  0.298206  0.049432
225  71.763418  1213.538249  13.461027  0.029483  0.804696  0.020542
226  1995.607693  696.947081  18.109366  0.080558  3.529059  0.082093
227  1588.248329  1179.938753  14.497804  0.053456  1.370040  0.033342
228  1948.059497  1557.560827  13.949114  0.028006  1.169919  0.027077
229  283.348729  398.405121  13.286907  0.048937  0.553466  0.032542
230  43.884464  1346.939592  14.616743  0.024653  1.221971  0.034017
231  1765.529972  1446.539428  15.496862  0.067460  1.511077  0.072024
232  1367.065845  1124.183153  14.465327  0.028042  0.978044  0.079716
